question,intent,entities,response
What are the common symptoms of a cold?,symptom_inquiry,['SYMPTOM:cold'],"Common cold symptoms include runny nose, sneezing, sore throat, cough, and mild fever. Most colds resolve on their own in 7-10 days. Stay hydrated and get plenty of rest."
I have a headache and fever,symptom_inquiry,"['SYMPTOM:headache', 'SYMPTOM:fever']","Headache and fever can indicate various conditions like flu, infection, or other illnesses. Monitor your temperature and seek medical attention if fever persists above 103°F or if accompanied by other severe symptoms."
What is the dosage for aspirin?,medication_info,['MEDICATION:aspirin'],"Typical aspirin dosage for pain relief is 325-650mg every 4-6 hours, not exceeding 3000mg daily. Always follow your doctor's prescription or package instructions. Consult a healthcare provider before use if you have allergies or medical conditions."
How much water should I drink daily?,lifestyle_advice,['BODY_PART:body'],"General recommendation is 8 glasses (64 ounces) of water daily, though individual needs vary. Factors like activity level, climate, and health conditions affect water requirements. Listen to your body and drink when thirsty."
What are benefits of exercise?,exercise_advice,['TREATMENT:exercise'],"Exercise provides numerous benefits: improves cardiovascular health, strengthens muscles, aids weight management, boosts mental health, reduces disease risk, and increases energy. Aim for 150 minutes of moderate activity weekly."
What should I eat for better nutrition?,nutrition_advice,['TREATMENT:nutrition'],"A balanced diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats. Limit processed foods, sugar, and salt. Include foods rich in vitamins and minerals. Consult a nutritionist for personalized advice."
"I'm having chest pain, what should I do?",emergency_info,['SYMPTOM:chest_pain'],"Chest pain can indicate serious conditions. If you experience severe chest pain, shortness of breath, or dizziness, CALL EMERGENCY SERVICES (911) immediately. Do not delay seeking medical attention."
Can I take ibuprofen with other medications?,medication_info,['MEDICATION:ibuprofen'],"Ibuprofen can interact with many medications including blood thinners, certain blood pressure medications, and other NSAIDs. Always inform your doctor about all medications you're taking before starting ibuprofen. Consult a pharmacist for interactions."
What causes high blood pressure?,general_health,['CONDITION:high_blood_pressure'],"High blood pressure can be caused by genetics, age, poor diet, lack of exercise, stress, obesity, and excessive salt/alcohol intake. Regular monitoring and lifestyle changes can help manage it. Consult your doctor for treatment options."
How can I improve my sleep quality?,lifestyle_advice,['TREATMENT:sleep'],"Improve sleep by maintaining a consistent schedule, creating a dark and cool environment, avoiding screens before bed, limiting caffeine, exercising regularly, and managing stress. If sleep problems persist, consult a healthcare provider."
What are symptoms of diabetes?,symptom_inquiry,['CONDITION:diabetes'],"Diabetes symptoms include increased thirst, frequent urination, fatigue, blurred vision, and slow wound healing. Type 1 and Type 2 may have different presentations. Consult a doctor for proper testing and diagnosis."
How to manage stress?,lifestyle_advice,['TREATMENT:stress_management'],"Manage stress through deep breathing, meditation, regular exercise, adequate sleep, social support, and mindfulness. Consider professional help like therapy if stress is overwhelming. Various techniques work for different people."
